agent_type,timestamp,position_number,total_positions,position_length,position_consistency,convergence_indicator,file_path
progressive,20250713_145752,54,67,375,0.0,False,orka_trace_20250713_145752.json
progressive,20250713_145752,55,67,858,0.23636363636363636,False,orka_trace_20250713_145752.json
progressive,20250713_145752,56,67,175,0.17894736842105263,False,orka_trace_20250713_145752.json
progressive,20250713_145752,57,67,0,0.0,False,orka_trace_20250713_145752.json
progressive,20250713_145752,58,67,0,0.0,False,orka_trace_20250713_145752.json
progressive,20250713_145752,59,67,0,0.0,False,orka_trace_20250713_145752.json
progressive,20250713_145752,60,67,0,0.0,False,orka_trace_20250713_145752.json
progressive,20250713_150128,61,67,339,0.0,False,orka_trace_20250713_150128.json
progressive,20250713_150128,62,67,344,0.23529411764705882,False,orka_trace_20250713_150128.json
progressive,20250713_150128,63,67,0,0.0,False,orka_trace_20250713_150128.json
progressive,20250713_150128,64,67,0,0.0,False,orka_trace_20250713_150128.json
progressive,20250713_150128,65,67,0,0.0,False,orka_trace_20250713_150128.json
progressive,20250713_150128,66,67,0,0.0,False,orka_trace_20250713_150128.json
progressive,20250713_150128,67,67,0,0.0,False,orka_trace_20250713_150128.json
purist,20250713_143008,1,11,570,1.0,False,orka_trace_20250713_143008.json
purist,20250713_143345,2,11,349,0.29069767441860467,False,orka_trace_20250713_143345.json
purist,20250713_143718,3,11,0,0.0,False,orka_trace_20250713_143718.json
purist,20250713_144045,4,11,932,0.0,False,orka_trace_20250713_144045.json
purist,20250713_144407,5,11,764,0.43410852713178294,False,orka_trace_20250713_144407.json
purist,20250713_144729,6,11,896,0.4830508474576271,True,orka_trace_20250713_144729.json
purist,20250713_145104,7,11,0,0.0,False,orka_trace_20250713_145104.json
purist,20250713_145104,8,11,0,0.0,False,orka_trace_20250713_145104.json
purist,20250713_145433,9,11,344,0.0,False,orka_trace_20250713_145433.json
purist,20250713_145752,10,11,835,0.1926605504587156,False,orka_trace_20250713_145752.json
purist,20250713_150128,11,11,446,0.2184873949579832,False,orka_trace_20250713_150128.json
